ANIO|CLAVE DE FORMULARIO|CLAVE DE LA ENTIDAD|TIPO DE PRODUCTO O SERVICIO|TIPO DE CLIENTE O USUARIO|CLASIFICACION POR GRADO DE RIESGO|PAIS DE NACIONALIDAD|PAIS DE RESIDENCIA|ENTIDAD FEDERATIVA DE RESIDENCIA|ACTIVIDAD ECONOMICA|NUMERO DE CLIENTES O  USUARIOS ACTIVOS AL CIERRE
2025|A2|12345|1|1|1|157|157|19|8934029|5
2025|A2|12345|1|1|1|157|157|19|8935019|44
2025|A2|12345|1|1|1|157|157|19|8936017|1
2025|A2|12345|1|1|1|157|157|19|8939011|4
2025|A2|12345|1|1|1|157|157|19|8942014|14
2025|A2|12345|1|1|1|157|157|19|8944010|8
2025|A2|12345|1|1|1|157|157|19|8944028|15
2025|A2|12345|1|1|1|157|157|19|8944098|4550
2025|A2|12345|1|1|1|157|157|19|8949010|5
2025|A2|12345|1|1|1|157|157|19|8949888|3
2025|A2|12345|1|1|1|157|157|19|8949903|1
2025|A2|12345|1|1|1|157|157|19|8991011|2018
2025|A2|12345|1|1|1|157|157|19|9100009|2
2025|A2|12345|1|1|1|157|157|19|9112012|94
2025|A2|12345|1|1|1|157|157|19|9113010|22
2025|A2|12345|1|1|1|157|157|19|9115016|44
2025|A2|12345|1|1|1|157|157|19|9119018|32
2025|A2|12345|1|1|1|157|157|19|9121013|11
2025|A2|12345|1|1|1|157|157|19|9122011|3
2025|A2|12345|1|1|1|157|157|19|9129017|12
2025|A2|12345|1|1|1|157|157|19|9191016|1
2025|A2|12345|1|1|1|157|157|19|9199010|2
2025|A2|12345|1|1|1|157|157|19|9200007|6
2025|A2|12345|1|1|1|157|157|19|9211012|105
2025|A2|12345|1|1|1|157|157|19|9212010|41
2025|A2|12345|1|1|1|157|157|19|9213018|26
2025|A2|12345|1|1|1|157|157|19|9214016|10
2025|A2|12345|1|1|1|157|157|19|9219016|21
2025|A2|12345|1|1|1|157|157|19|9221011|1
2025|A2|12345|1|1|1|157|157|19|9231010|12
2025|A2|12345|1|1|1|157|157|19|9231028|6
2025|A2|12345|1|1|1|157|157|19|9311036|4
2025|A2|12345|1|1|1|157|157|19|9311044|22
2025|A2|12345|1|1|1|157|157|19|9319014|1
2025|A2|12345|1|1|1|157|157|19|9321019|7
2025|A2|12345|1|1|1|157|157|19|9322017|1
2025|A2|12345|1|1|1|157|157|19|9331018|11
2025|A2|12345|1|1|1|157|157|19|9400003|11
2025|A2|12345|1|1|1|157|157|19|9411018|3
2025|A2|12345|1|1|1|157|157|19|9411026|13
2025|A2|12345|1|1|1|157|157|19|9411034|28
2025|A2|12345|1|1|1|157|157|19|9411901|1
2025|A2|12345|1|1|1|157|157|19|9411998|401
2025|A2|12345|1|1|1|157|157|19|9471012|5
2025|A2|12345|1|1|1|157|157|19|9501009|45
2025|A2|12345|1|1|1|157|157|19|9502007|18
2025|A2|12345|1|1|1|157|157|19|9504003|3
2025|A2|12345|1|1|1|157|157|19|9506009|2034
2025|A2|12345|1|1|1|157|157|19|9900003|3
2025|A2|12345|1|1|1|157|157|19|9919012|9
2025|A2|12345|1|1|1|157|157|19|9999999|2900
2025|A2|12345|1|1|1|157|157|19|0|1157
2025|A2|12345|1|1|1|157|157|24|9506009|2
2025|A2|12345|1|1|1|157|157|25|9999999|2
