ANIO|CLAVE DEL FORMULARIO|CLAVE DE LA ENTIDAD|TIPO DE PRODUCTO O SERVICIO UTILIZADO|TIPO CLIENTE O USUARIO|ACTIVIDAD ECONOMICA|TIPO MONEDA|TIPO DE INSTRUMENTO MONETARIO|OPERACION DE ENTRADA-SALIDA|NUMERO DE OPERACIONES|MONTO DE LAS OPERACIONES
2025|B|12345|1|01|8919013|1|1|1|29|468
2025|B|12345|1|01|8921018|1|1|1|16|26487
2025|B|12345|1|01|8922016|1|1|1|45|103022
2025|B|12345|1|01|8922024|1|1|1|20|36
2025|B|12345|1|01|8929020|1|1|1|26|6950
2025|B|12345|1|01|8932015|1|1|1|13|1203
2025|B|12345|1|01|8933013|1|1|1|156|66643
2025|B|12345|1|05|8933013|1|1|1|7|174
2025|B|12345|1|01|8934011|1|1|1|28|36281
2025|B|12345|1|01|8935019|1|1|1|220|38907
2025|B|12345|1|01|8936017|1|1|1|5|10
2025|B|12345|1|01|8939011|1|1|1|1|30
2025|B|12345|1|01|8941016|1|1|1|20|107296
2025|B|12345|1|01|8942014|1|1|1|30|42752
2025|B|12345|1|01|8944028|1|1|1|8|41
2025|B|12345|1|01|8944098|1|1|1|82|5589
2025|B|12345|1|01|8949888|1|1|1|41|3769
2025|B|12345|1|01|8949896|1|1|1|1|1000
2025|B|12345|1|01|8949903|1|1|1|81|211856
2025|B|12345|1|01|8991011|1|1|1|9780|6438033
2025|B|12345|1|05|8991011|1|1|1|2|48
2025|B|12345|1|15|8991011|1|1|1|29|167642
2025|B|12345|1|01|9112012|1|1|1|296|93332
2025|B|12345|1|01|9113010|1|1|1|126|137756
2025|B|12345|1|01|9115016|1|1|1|75|22793
2025|B|12345|1|15|9115016|1|1|1|8|116
2025|B|12345|1|01|9119018|1|1|1|24|4932
2025|B|12345|1|01|9121013|1|1|1|10|550
2025|B|12345|1|01|9122011|1|1|1|37|148876
2025|B|12345|1|01|9129017|1|1|1|12|2629
2025|B|12345|1|01|9211012|1|1|1|415|254023
2025|B|12345|1|01|9212010|1|1|1|91|79782
2025|B|12345|1|01|9213018|1|1|1|46|66220
2025|B|12345|1|01|9214016|1|1|1|35|27206
2025|B|12345|1|01|9219016|1|1|1|1|18
2025|B|12345|1|01|9221011|1|1|1|29|4713
2025|B|12345|1|01|9231028|1|1|1|25|911
2025|B|12345|1|01|9311044|1|1|1|30|26026
2025|B|12345|1|01|9331018|1|1|1|36|4659
2025|B|12345|1|01|9411018|1|1|1|186|137301
2025|B|12345|1|15|9411018|1|1|1|11|5500
2025|B|12345|1|01|9411026|1|1|1|145|22224
2025|B|12345|1|01|9411034|1|1|1|391|222506
2025|B|12345|1|15|9411034|1|1|1|14|3193
2025|B|12345|1|01|9411901|1|1|1|21|935
2025|B|12345|1|01|9411919|1|1|1|12|1400
2025|B|12345|1|01|9411998|1|1|1|84|99253
2025|B|12345|1|01|9471012|1|1|1|1|30
2025|B|12345|1|01|9911018|1|1|1|7|900
2025|B|12345|1|01|9912024|1|1|1|15|12125
2025|B|12345|1|01|9919012|1|1|1|160|114057
2025|B|12345|1|05|9919012|1|1|1|17|54
2025|B|12345|1|01|9999999|1|1|1|933|767639
2025|B|12345|1|01|000000|1|1|1|270|205992
2025|B|12345|1|01|111047|1|1|2|1|4000
2025|B|12345|1|01|111063|1|1|2|14|31500
2025|B|12345|1|01|111089|1|1|2|4|14100
2025|B|12345|1|05|111089|1|1|2|3|8500
2025|B|12345|1|01|111104|1|1|2|2|5261
2025|B|12345|1|01|124040|1|1|2|11|19309
2025|B|12345|1|01|131011|1|1|2|4|14700
2025|B|12345|1|01|149014|1|1|2|6|24500
2025|B|12345|1|01|149907|1|1|2|4|7500
2025|B|12345|1|01|191015|1|1|2|3|1550
2025|B|12345|1|01|211011|1|1|2|9|15650
2025|B|12345|1|01|212019|1|1|2|13|32232
2025|B|12345|1|01|214015|1|1|2|2|6000
2025|B|12345|1|01|219015|1|1|2|10|26900
2025|B|12345|1|01|219908|1|1|2|10|36600
2025|B|12345|1|01|223016|1|1|2|1|2500
2025|B|12345|1|01|259011|1|1|2|1|4000
2025|B|12345|1|01|311019|1|1|2|5|8000
2025|B|12345|1|01|313015|1|1|2|19|54619
2025|B|12345|1|01|511015|1|1|2|1|4000
2025|B|12345|1|01|1111012|1|1|2|22|50910
2025|B|12345|1|01|2012011|1|1|2|8|22000
2025|B|12345|1|01|2049014|1|1|2|3|5000
2025|B|12345|1|01|2049022|1|1|2|1|400
2025|B|12345|1|01|2071017|1|1|2|22|57850
2025|B|12345|1|01|2092021|1|1|2|1|3000
2025|B|12345|1|01|2093011|1|1|2|6|8300
2025|B|12345|1|05|2093011|1|1|2|8|8900
2025|B|12345|1|01|2094027|1|1|2|3|1450
2025|B|12345|1|01|2097013|1|1|2|7|9372
2025|B|12345|1|01|2099043|1|1|2|15|30120
2025|B|12345|1|01|2114023|1|1|2|1|1500
2025|B|12345|1|01|2122018|1|1|2|1|4600
2025|B|12345|1|01|2131027|1|1|2|1|1500
2025|B|12345|1|01|2392025|1|1|2|1|1000
2025|B|12345|1|01|2411015|1|1|2|2|4480
2025|B|12345|1|01|2411023|1|1|2|8|26000
2025|B|12345|1|01|2415017|1|1|2|1|575
2025|B|12345|1|01|2432011|1|1|2|45|86048
2025|B|12345|1|01|2519017|1|1|2|2|3000
2025|B|12345|1|01|2639039|1|1|2|3|1818
2025|B|12345|1|01|2711019|1|1|2|2|5000
2025|B|12345|1|01|2812015|1|1|2|4|7000
2025|B|12345|1|01|2929026|1|1|2|1|3700
2025|B|12345|1|01|3062015|1|1|2|2|1960
2025|B|12345|1|01|3219012|1|1|2|1|1000
2025|B|12345|1|01|3323045|1|1|2|1|250
2025|B|12345|1|01|3324019|1|1|2|5|6500
2025|B|12345|1|01|3341013|1|1|2|3|5000
2025|B|12345|1|01|3411030|1|1|2|1|1000
2025|B|12345|1|01|3516038|1|1|2|17|43800
2025|B|12345|1|01|3516054|1|1|2|4|5800
2025|B|12345|1|01|3521037|1|1|2|1|1000
2025|B|12345|1|01|3531010|1|1|2|1|4407
2025|B|12345|1|01|3593010|1|1|2|20|43200
2025|B|12345|1|01|3596014|1|1|2|2|3500
2025|B|12345|1|01|3599042|1|1|2|22|33260
2025|B|12345|1|01|3621027|1|1|2|11|15515
2025|B|12345|1|01|3632016|1|1|2|1|1000
2025|B|12345|1|01|3699024|1|1|2|15|25856
2025|B|12345|1|01|3699032|1|1|2|14|23750
2025|B|12345|1|01|3791010|1|1|2|2|8000
2025|B|12345|1|01|3793016|1|1|2|1|600
2025|B|12345|1|01|3793024|1|1|2|16|14108
2025|B|12345|1|01|3793032|1|1|2|16|34000
2025|B|12345|1|01|3811016|1|1|2|1|1000
2025|B|12345|1|01|3812014|1|1|2|5|10400
2025|B|12345|1|01|3815018|1|1|2|4|3500
2025|B|12345|1|01|3819010|1|1|2|20|45050
2025|B|12345|1|01|3821015|1|1|2|6|15000
2025|B|12345|1|01|3892016|1|1|2|26|59690
2025|B|12345|1|01|3932010|1|1|2|3|4000
2025|B|12345|1|01|3997030|1|1|2|2|7000
2025|B|12345|1|01|3999101|1|1|2|1|823
2025|B|12345|1|01|4111019|1|1|2|49|77882
2025|B|12345|1|01|4111027|1|1|2|43|78190
2025|B|12345|1|01|4111928|1|1|2|47|101952
2025|B|12345|1|01|4111936|1|1|2|1|1000
2025|B|12345|1|01|4111944|1|1|2|28|50040
2025|B|12345|1|01|4111952|1|1|2|1|3600
2025|B|12345|1|01|4112017|1|1|2|9|32500
2025|B|12345|1|01|4113015|1|1|2|4|9190
2025|B|12345|1|01|4121018|1|1|2|3|2000
2025|B|12345|1|01|4192019|1|1|2|1|900
2025|B|12345|1|01|4199908|1|1|2|9|39500
2025|B|12345|1|01|4299013|1|1|2|1|420
2025|B|12345|1|01|5011010|1|1|2|8|23089
2025|B|12345|1|01|5012018|1|1|2|2|1650
2025|B|12345|1|01|6112015|1|1|2|6|14100
2025|B|12345|1|01|6122014|1|1|2|7|9650
2025|B|12345|1|01|6131015|1|1|2|1|5000
2025|B|12345|1|01|6131023|1|1|2|115|269270
2025|B|12345|1|15|6131023|1|1|2|2|2000
2025|B|12345|1|01|6132013|1|1|2|6|9561
2025|B|12345|1|01|6132021|1|1|2|17|25244
2025|B|12345|1|01|6132047|1|1|2|1|3000
2025|B|12345|1|01|6135017|1|1|2|1|1000
2025|B|12345|1|01|6211023|1|1|2|80|153048
2025|B|12345|1|01|6212013|1|1|2|8|16000
2025|B|12345|1|01|6215025|1|1|2|1|1000
2025|B|12345|1|01|6216023|1|1|2|5|3923
2025|B|12345|1|01|6231013|1|1|2|2|2600
2025|B|12345|1|01|6231021|1|1|2|8|18600
2025|B|12345|1|01|6232011|1|1|2|1|500
2025|B|12345|1|01|6239017|1|1|2|14|41580
2025|B|12345|1|01|6312011|1|1|2|4|9900
2025|B|12345|1|01|6322010|1|1|2|1|2500
2025|B|12345|1|01|6325030|1|1|2|31|52326
2025|B|12345|1|01|6329016|1|1|2|1|143
2025|B|12345|1|01|6411011|1|1|2|12|14350
2025|B|12345|1|01|6412019|1|1|2|2|3500
2025|B|12345|1|01|6512017|1|1|2|8|9263
2025|B|12345|1|01|6513015|1|1|2|5|11410
2025|B|12345|1|15|6513015|1|1|2|2|2500
2025|B|12345|1|01|6622022|1|1|2|15|23300
2025|B|12345|1|01|6629010|1|1|2|5|9800
2025|B|12345|1|01|6699047|1|1|2|1|570
2025|B|12345|1|01|6732011|1|1|2|2|1000
2025|B|12345|1|01|6819017|1|1|2|1|400
2025|B|12345|1|01|6999025|1|1|2|1|500
2025|B|12345|1|01|6999083|1|1|2|7|7304
2025|B|12345|1|01|6999108|1|1|2|6|8000
2025|B|12345|1|01|6999900|1|1|2|3|5500
2025|B|12345|1|01|7111016|1|1|2|16|19100
2025|B|12345|1|01|7112014|1|1|2|3|2500
2025|B|12345|1|01|7113012|1|1|2|1|5000
2025|B|12345|1|01|7114010|1|1|2|11|18835
2025|B|12345|1|01|7115018|1|1|2|2|6700
2025|B|12345|1|01|7123011|1|1|2|3|4700
